"z","Y","std","Y1","Y0","smooth_spline"
-0.4967,0,0.2295,1,0,0.565209407101247
-0.3099,1,0.2183,1,1,0.440581056031457
0.1286,1,0.2063,1,1,0.115878183391908
-0.6297,1,0.2283,1,1,0.615083217381519
-1.3608,0,0.2955,0,0,0.34660282207945
-0.2114,1,0.2471,1,1,0.359583262098971
-2.5301,0,0.3748,0,0,0.0177662236196253
-0.5152,0,0.229,1,0,0.574101815041147
-1.145,0,0.2693,0,0,0.467448587168078
-0.9276,0,0.2455,1,0,0.601108524908734
-0.1122,1,0.2557,1,0,0.275863454461439
0.1553,1,0.2059,1,1,0.103145578673475
-0.9036,1,0.2433,1,1,0.610718097939281
0.352,1,0.2043,1,1,0.0414002066765604
-0.2453,1,0.2443,1,1,0.388159091029516
-0.1169,1,0.2552,1,1,0.279714802892247
-0.2545,1,0.2435,1,1,0.3958001547754
-0.9953,0,0.2523,0,0,0.566578148711492
0.0428,1,0.2078,1,1,0.163953310217958
-0.2455,0,0.2443,1,0,0.388325807073207
-0.7504,0,0.2322,1,0,0.634825746957611
-0.4528,0,0.2311,1,0,0.541277251306626
-1.1138,0,0.2656,0,0,0.488756411183918
0.0807,1,0.2071,1,1,0.141484005579751
-1.1483,0,0.2697,0,0,0.465226116714924
0.7404,1,0.2092,1,1,0.00403663540922434
0.6433,1,0.2068,1,1,0.0080532824029307
0.365,1,0.2043,1,1,0.0387629451708584
-0.2811,0,0.2415,1,0,0.417568073891283
-1.1795,0,0.2734,0,0,0.444670681450074
0.0636,1,0.2074,1,1,0.151386666758756
-0.2083,1,0.2145,1,1,0.356947999614373
-0.6973,1,0.2299,1,1,0.629436138781949
-0.216,1,0.2148,1,1,0.363489174172927
0.151,1,0.2059,1,1,0.105115027245916
0.7915,1,0.2109,1,1,0.0027075674820606
-0.2368,1,0.2155,1,1,0.381049840858192
0.3826,1,0.2043,1,1,0.035406384235532
-0.9755,0,0.2503,0,0,0.57773116152289
-0.9697,0,0.2497,1,0,0.580847443429888
-0.1845,1,0.2137,1,0,0.336662064119759
-0.8203,0,0.2365,1,0,0.632282972525889
-0.2939,0,0.2405,1,0,0.427870114206121
-0.9326,0,0.246,0,0,0.598928758161176
-0.5661,1,0.2282,1,1,0.595051998709586
0.245,1,0.2049,1,1,0.0689473790391279
0.0719,1,0.2072,1,1,0.146531633772921
-1.6546,0,0.3306,1,0,0.227067581592204
-0.6317,0,0.2283,1,0,0.61561917353952
-0.1072,1,0.2114,1,1,0.271787751094019
-0.625,0,0.2283,1,0,0.613800430802222
-1.0034,0,0.2532,0,0,0.561804400908187
0.1612,1,0.2058,1,1,0.100494824825757
-1.0461,0,0.2579,0,0,0.534917975629389
-1.5625,0,0.3197,1,0,0.261985973568547
0.0247,1,0.2082,1,1,0.175353197380654
-0.6268,0,0.235,1,0,0.614295525775724
-0.6984,0,0.23,0,0,0.629600988952991
0.3864,1,0.2043,1,1,0.0347135311988388
-0.7516,0,0.2323,1,0,0.63488473167355
-0.6797,0,0.2294,1,0,0.626492566709286
0.2835,1,0.2046,1,1,0.0577239846347175
-1.4252,0,0.3273,1,0,0.318008483165014
-2.6092,0,0.3834,0,0,0.0117335400452573
0.3264,1,0.2044,1,1,0.0470038467409798
-0.2955,0,0.2177,1,0,0.429149610102997
0.2583,1,0.2048,1,1,0.0648781427680541
-0.9461,0,0.2473,1,0,0.592735563884615
-0.1935,1,0.2486,1,1,0.344340948393169
0.0035,1,0.2086,1,1,0.189263987226744
-0.6803,0,0.2294,1,0,0.626602443375447
0.6964,1,0.208,1,1,0.00560405270759503
-0.9143,0,0.2443,0,0,0.60660748201571
-1.4283,0,0.3036,1,0,0.316674730626686
-0.0026,1,0.2087,1,1,0.193378483550757
-0.1851,1,0.2493,1,0,0.337174122670958
-0.2568,0,0.2434,1,0,0.39770141934704
0.8247,1,0.2121,1,1,0.00209531634625063
-0.213,0,0.2469,1,0,0.360942473040055
-1.1912,0,0.3259,0,0,0.437221120384614
-0.2067,1,0.2474,1,1,0.355586991717518
-0.2772,1,0.2418,1,1,0.414406379318444
-0.7449,0,0.2319,1,0,0.634517065539955
0.1249,1,0.2063,1,1,0.117735493112394
-0.6827,0,0.2294,1,0,0.627035208277922
-0.3521,0,0.2365,1,0,0.473095088683531
-0.5143,0,0.229,1,0,0.573685301576826
-0.0575,1,0.2101,1,1,0.232709416160316
0.2272,1,0.205,1,1,0.0747561730070597
-0.4986,0,0.2294,1,0,0.566154855483453
-0.2045,1,0.2144,1,1,0.353714704640792
-0.5333,0,0.2286,1,0,0.582131166671796
-0.652,0,0.2287,1,0,0.620703069110358
-0.0636,1,0.26,1,1,0.237342162266765
-0.3405,0,0.2372,1,0,0.464328849643049
-2.4548,0,0.3676,0,0,0.0255776833901064
-1.5599,0,0.3194,0,0,0.262997544975057
0.515,1,0.2049,1,1,0.0172669573538206
-1.1302,0,0.2676,0,0,0.477499805492554
0.4205,1,0.2043,1,1,0.0289899099103311
-0.2717,0,0.2168,1,0,0.409930127985546
0.304,1,0.2045,1,1,0.0523835782887815
0.3864,1,0.2043,1,1,0.0347135311988388
0.2158,1,0.2052,1,1,0.0787131008547234
-0.4096,0,0.2331,0,0,0.513990920008792
1.2832,1,0.2458,1,1,6.00426348104063e-05
-0.3249,1,0.2189,1,1,0.45232217286145
1.377,1,0.2573,1,1,-0.000148515753524269
-0.842,0,0.2381,1,0,0.628627433541495
-0.1819,1,0.2137,1,1,0.334443060417635
-0.2967,1,0.2178,1,1,0.430108004178182
-1.8255,0,0.3345,0,0,0.166529893205032
-1.0842,0,0.2622,0,0,0.509167117276176
-0.4115,1,0.233,1,1,0.515260749724733
0.7075,1,0.2083,1,1,0.00517002548062429
-2.5214,0,0.374,0,0,0.0185619324802998
-1.0376,0,0.2569,1,0,0.540474287902521
-0.3808,0,0.2347,1,0,0.494074030536342
-0.4754,0,0.2302,0,0,0.554097489986358
0.1036,1,0.2067,1,0,0.12883748104202
0.0503,1,0.2076,1,1,0.159356178113257
-0.5662,1,0.2282,1,1,0.595088365852932
-0.2062,0,0.2145,1,0,0.355161561002747
0.1213,1,0.2064,1,1,0.1195635330286
0.2803,1,0.2046,1,1,0.0585951417123832
-0.3676,1,0.2355,1,1,0.484557670061226
-0.1998,1,0.248,1,0,0.349711749809799
0.8946,1,0.2152,1,1,0.00131588388248656
0.3454,1,0.2043,1,1,0.042791814167755
-0.8181,0,0.2364,1,0,0.632572027653053
-1.5719,0,0.3208,0,0,0.258340310263922
-0.0906,1,0.2109,1,1,0.25842337379715
-0.2644,1,0.2165,1,1,0.403957879234977
0.673,1,0.2074,1,1,0.00660610551416745
0.2575,1,0.2048,1,1,0.0651168172742829
-0.2463,1,0.2442,1,1,0.388992404185685
0.5461,1,0.2052,1,1,0.0144792110453896
-0.048,1,0.2098,1,1,0.225597111527533
-0.9824,0,0.251,0,0,0.573932076083614
0.5144,1,0.2049,1,1,0.0173251972616567
0.1665,1,0.2815,1,1,0.098164498511827
-0.6163,0,0.2282,0,0,0.611342842552513
0.8427,1,0.2129,1,1,0.00183522699497117
-0.707,0,0.2303,0,0,0.630812220574499
-0.8831,0,0.2415,1,0,0.617809412592268
-0.1238,1,0.2546,1,0,0.285403194726699
-0.0944,1,0.2573,1,0,0.261458788585575
-0.4325,1,0.232,1,1,0.528886218852068
-0.0344,1,0.2095,1,1,0.215640928226499
-0.6539,0,0.2287,1,0,0.621143936816831
-0.5716,0,0.2281,0,0,0.597026715439332
-1.3762,0,0.2973,0,0,0.339591508104995
-0.9213,0,0.2449,1,0,0.603767342327771
0.3544,1,0.2043,1,1,0.0409030584379676
-2.0278,0,0.3411,0,0,0.10930653154868
0.2216,1,0.2051,1,1,0.0766759905789221
-1.1636,0,0.2715,0,0,0.455032871043633
-0.9932,0,0.2521,1,0,0.567796646705117
-0.2096,0,0.2472,1,0,0.358053388624611
-0.1249,1,0.2119,1,0,0.286313667601778
-0.4792,0,0.23,1,0,0.556149500492959
0.0089,1,0.2085,1,0,0.185663205545536
-0.2029,1,0.2144,1,1,0.35235243603176
-0.145,1,0.2125,1,1,0.303105011019906
1.2361,1,0.2407,1,1,0.000173434516442303
-0.1007,1,0.2567,1,1,0.266523244669309
-0.6187,0,0.2282,1,0,0.612031312631426
-0.1481,1,0.2525,1,1,0.305716945088373
0.3492,1,0.2043,1,1,0.0419861832479964
-0.1235,1,0.2119,1,0,0.285155053389729
-0.358,0,0.2361,1,0,0.477493674240446
0.3787,1,0.2043,1,1,0.0361291755743323
-0.0969,1,0.2111,1,1,0.263463834801205
-0.7584,0,0.2326,1,0,0.635160229535297
-0.7267,0,0.2311,1,0,0.633072005899839
-0.0352,1,0.2095,1,0,0.216219146262111
-0.0348,0,0.2095,0,0,0.215929921514958
-0.8295,0,0.2372,1,0,0.630912338935893
-0.4095,1,0.2226,1,1,0.513923926773352
-0.6873,0,0.2296,0,0,0.627834487103199
0.4497,1,0.2044,1,1,0.0247653050897386
-0.305,0,0.2397,1,0,0.436708138937423
0.7826,1,0.2106,1,1,0.00290364481163296
-1.487,0,0.3107,0,0,0.292038677846475
-0.0972,1,0.257,1,1,0.263704858378754
-0.7271,0,0.2311,1,0,0.633110472059846
-0.923,0,0.2451,1,0,0.603059492425719
-2.5573,0,0.3777,0,0,0.0154510689497861
-1.2992,0,0.288,1,0,0.376185041861765
-0.4557,0,0.2309,0,0,0.542980580015663
-1.9294,0,0.3376,0,0,0.135268188478726
-0.2482,0,0.244,1,0,0.390573854666032
-0.2692,1,0.2167,1,1,0.407888853708373
-0.2407,0,0.2446,1,0,0.384317386996964
-1.7129,0,0.3374,1,0,0.205773699842863
-0.1524,1,0.2521,1,1,0.309348003414172
-0.2751,0,0.2419,1,0,0.412699647239215
0.7372,1,0.2091,1,1,0.00413695247155485
-0.189,1,0.2489,1,1,0.340502140689457
-0.16,1,0.213,1,0,0.315786688732218
-1.0399,1,0.2572,1,1,0.538979536004724
-0.5479,0,0.2284,1,0,0.588133029520983
-0.5524,0,0.2283,1,0,0.589900596707689
0.3256,1,0.2044,1,1,0.0471881073849977
0.0559,1,0.2075,1,1,0.15597209470509
-0.7178,1,0.2307,1,1,0.632139700649075
0.2325,1,0.205,1,1,0.0729807661972847
-0.3813,1,0.2347,1,1,0.494429909192771
-0.7515,0,0.2323,1,0,0.634879932805705
-0.7745,0,0.2335,0,0,0.635389363094942
-1.4295,0,0.3038,1,0,0.31615932778013
0.5239,1,0.205,1,1,0.016423642574398
0.2204,1,0.2051,1,0,0.0770933556801575
-0.2274,1,0.2457,1,1,0.373138556724864
-0.9788,0,0.2506,0,0,0.575926377772047
-2.5448,0,0.3763,0,0,0.0164828484501853
-0.1702,1,0.2133,1,1,0.324462817113822
-1.259,0,0.2831,1,0,0.397293818666894
-1.3894,0,0.2989,1,0,0.333675790373057
-0.1798,1,0.2497,1,1,0.332650824589439
-1.0815,0,0.3259,0,0,0.511022246455124
-0.8335,0,0.2375,1,0,0.63023435926876
-1.2042,0,0.2764,1,0,0.429131377285636
0.1944,1,0.2054,1,1,0.086675117566122
-0.5397,0,0.2285,1,0,0.584813211351232
-0.1283,1,0.2542,1,0,0.289133909075315
-0.1543,1,0.2519,1,1,0.310955264100469
-1.4998,0,0.3282,0,0,0.286823504578415
-0.272,0,0.2422,0,0,0.4101748044344
-1.2534,0,0.2824,1,0,0.400377624598274
-0.4133,1,0.2329,1,1,0.516458355263398
-0.0978,1,0.2111,1,1,0.264187170449637
-0.6297,0,0.2283,1,0,0.615083217381519
-1.702,0,0.3316,1,0,0.209715003355496
-1.1079,1,0.2649,1,1,0.492824093274069
-0.9869,0,0.2514,0,0,0.571402888330914
-0.4816,1,0.23,1,1,0.55742989936215
0.6726,1,0.2074,1,1,0.00662427259770427
-0.7936,1,0.2347,1,1,0.634812941368935
-0.7091,1,0.2304,1,1,0.63108717094953
-0.8107,0,0.2359,1,0,0.633436020517523
0.302,1,0.2045,1,1,0.0528866616684856
-0.8022,1,0.2353,1,1,0.634226520468236
0.0359,1,0.2079,1,1,0.168248049991378
0.0163,1,0.2083,1,1,0.180792493158986
-1.12,0,0.2663,1,0,0.484490094150645
-0.3796,0,0.2348,1,0,0.493218534584158
-0.6225,0,0.2282,0,0,0.613105081967976
0.3584,1,0.2043,1,1,0.0400848772271705
-0.4894,0,0.2297,1,0,0.561507677556703
0.4026,1,0.2043,1,1,0.0318848426096643
0.1575,1,0.2059,1,1,0.102150189989941
-0.5903,1,0.2326,1,1,0.603374192689392
0.1803,1,0.2056,1,1,0.0923199360494188
-0.0298,1,0.2094,1,1,0.212334018913149
-1.2342,0,0.28,1,0,0.411241795175736
0.2947,1,0.2045,1,1,0.0547555146219739
-0.647,0,0.2286,1,0,0.619513315122092
0.4348,1,0.2044,1,1,0.026846056539985
-0.8067,0,0.2356,1,0,0.633834560560354
-1.4833,0,0.328,0,0,0.293556560984577
-1.0352,0,0.2567,0,0,0.54202680339065
-0.0528,1,0.2099,1,0,0.229174824431167
-1.6959,0,0.3315,0,0,0.211928443692131
-0.1636,1,0.2131,1,0,0.318844904444664
0.3886,1,0.2043,1,1,0.0343175308210679
-0.3208,0,0.2386,1,0,0.449130789622417
-0.0352,1,0.2095,1,1,0.216219146262111
-1.328,0,0.2915,0,0,0.362006514570004
-0.033,1,0.2095,1,1,0.214631268985385
-0.0311,1,0.2094,1,0,0.213265515787253
0.1507,1,0.2059,1,1,0.105253610140176
-0.4673,1,0.2305,1,1,0.549623094429928
-0.1163,1,0.2553,1,1,0.279222066746783
0.2715,1,0.2047,1,0,0.0610453831211261
-0.8471,0,0.2385,1,0,0.627555102113737
-0.0803,1,0.2107,1,1,0.250275962120499
-1.2707,0,0.2845,0,0,0.390970084110382
0.1518,1,0.2059,1,1,0.104746223969897
0.1147,1,0.2065,1,1,0.122967234449999
-0.2759,1,0.2419,1,1,0.413350180715814
-1.0955,0,0.2635,0,0,0.501382033341892
-1.2795,0,0.2856,0,0,0.386315159869332
0.1223,1,0.2064,1,1,0.119053694343936
-0.1334,1,0.2122,1,1,0.293380698419184
-0.2967,0,0.2403,1,0,0.430108004178182
-0.1057,1,0.2562,1,1,0.270569429222886
0.2998,1,0.2045,1,1,0.0534444729475472
-1.2393,0,0.2807,1,0,0.408311315695028
-0.2578,0,0.2433,1,0,0.398526921676036
-0.4158,1,0.2328,1,1,0.518112836053519
-1.0281,0,0.2559,0,0,0.54657434631906
0.3783,1,0.2043,1,1,0.0362039804952732
0.1334,1,0.2062,1,1,0.113501721367453
-0.7467,1,0.232,1,1,0.634624928068765
-0.4927,0,0.2269,1,0,0.563194708487331
-0.8773,0,0.241,1,0,0.619622636816269
-0.8546,0,0.2391,1,0,0.625833251340736
-0.6523,1,0.2287,1,1,0.620773096390326
-0.3976,0,0.2337,1,0,0.505840420959543
0.5801,1,0.2056,1,1,0.0118892591772422
-0.5724,0,0.2281,1,0,0.597309697124118
-0.3524,0,0.2365,1,0,0.473319761678603
0.0365,1,0.2079,1,0,0.167872107924109
0.0695,1,0.2073,1,1,0.147926130752699
-1.0803,0,0.2617,1,0,0.511845885434883
0.6326,1,0.2065,1,1,0.00862611361732225
-0.4527,0,0.2311,1,0,0.541218212970651
-0.6118,1,0.2281,1,1,0.610030634165902
-0.2411,0,0.2157,1,0,0.384651988171909
-0.8332,0,0.2375,1,0,0.630286940656709
-0.0178,1,0.2091,1,1,0.203847186096956
-0.2213,0,0.2462,1,0,0.367981555132111
0.343,1,0.2043,1,1,0.0433068433604557
0.0476,1,0.2077,1,0,0.161002604797161
1.2753,1,0.2449,1,1,7.86099502045223e-05
-0.7576,0,0.2326,1,0,0.635133104809402
-0.4759,0,0.2302,1,0,0.554369217194266
0.1754,1,0.2056,1,1,0.094358615436545
-2.3995,0,0.366,0,0,0.0327393826800056
0.2143,1,0.2052,1,1,0.0792481493931265
0.1175,1,0.2064,1,1,0.12151509480813
0.3341,1,0.2044,1,1,0.0452593149443467
-0.2967,0,0.2403,1,0,0.430108004178182
-0.1611,0,0.213,0,0,0.316720620490648
0.0979,1,0.2068,1,1,0.131919026252276
-0.7386,0,0.2316,1,0,0.634088678293896
-0.0209,1,0.2092,1,1,0.206020538038656
-0.2072,0,0.2474,1,0,0.356012367951652
-0.2899,0,0.2408,1,0,0.424663256044325
-0.5253,1,0.2288,1,1,0.578663751383789
-0.2071,1,0.2145,1,1,0.355927297107761
0.3832,1,0.2043,1,1,0.0352962392944676
0.6909,1,0.2078,1,1,0.00582890428063806
-1.3885,0,0.327,0,0,0.334076549466247
-0.3233,1,0.2188,1,1,0.451078412813533
-0.2378,1,0.2449,1,1,0.381888555996733
0.7388,1,0.2091,1,1,0.00408653082605098
-0.5796,0,0.2281,1,0,0.599809610845596
-0.8327,0,0.3232,1,0,0.630373951196794
0.006,1,0.2664,1,1,0.187592096159871
0.0294,1,0.2081,1,1,0.172351226037304
0.0535,1,0.2076,1,1,0.15741733380193
-0.7123,0,0.2305,0,0,0.631490521276802
0.3184,1,0.2044,1,1,0.0488723601018146
-0.3716,0,0.2353,1,0,0.487465833632621
-0.035,1,0.2095,1,1,0.216074504932772
-0.988,0,0.2516,1,0,0.570778646409738
0.0145,1,0.2672,1,1,0.181970464763948
-0.1734,1,0.2134,1,1,0.327190666137602
0.415,1,0.2043,1,1,0.0298541082589903
0.7552,1,0.2097,1,1,0.00359968860434376
0.2783,1,0.2046,1,1,0.059144924403521
-0.4778,0,0.2301,1,0,0.555397014339041
0.3517,1,0.2043,1,1,0.0414626815020653
-0.6816,0,0.2294,1,0,0.626838197933142
-0.6495,0,0.2286,1,0,0.620113494924834
-0.3382,1,0.2374,1,1,0.462573351992486
-0.8086,0,0.2357,1,0,0.633651181623246
-0.298,0,0.2402,1,0,0.431145071773871
0.6025,1,0.206,1,0,0.0103988842664781
0.7612,1,0.2098,1,1,0.00343495854071211
-0.2951,0,0.2404,1,0,0.428829911196584
-0.0985,1,0.2569,1,1,0.26475031126936
-0.2886,0,0.2409,1,0,0.423618550988063
-0.1777,1,0.2135,1,1,0.33085878634424
-0.1988,1,0.2481,1,0,0.348859589425866
-0.0649,1,0.2599,1,1,0.238335966538766
0.4341,1,0.2044,1,1,0.0269475946020581
0.2797,1,0.2046,1,1,0.0587596448268058
-0.6499,0,0.2286,1,0,0.620208544375386
-1.1975,0,0.3259,1,0,0.433275588195645
-1.0146,0,0.2544,1,0,0.555018868052761
0.0339,1,0.208,1,1,0.169504612902455
-0.6982,0,0.23,0,0,0.629571183600786
-1.3616,0,0.3267,1,0,0.346235467941686
0.8793,1,0.2145,1,1,0.00143790333348324
-0.4675,0,0.2305,1,0,0.549735207796915
0.0254,1,0.2081,1,1,0.174904217652326
0.1281,1,0.2063,1,1,0.116127885111291
-1.0008,0,0.2529,1,0,0.563349268026604
-0.8328,0,0.2374,0,0,0.630356611585572
-0.6663,1,0.229,1,1,0.623864710479282
0.0226,1,0.2082,1,1,0.176704091210831
-0.9162,0,0.2444,1,0,0.605848422829803
-0.5277,1,0.2287,1,1,0.579717486929303
-0.68,0,0.2294,1,0,0.626547589202898
-0.6737,0,0.2292,1,0,0.625356883884136
0.2568,1,0.2048,1,1,0.0653262772638645
-0.8683,0,0.2402,1,0,0.622258415231665
0.3252,1,0.2044,1,1,0.0472804524108966
-0.1729,1,0.2134,1,1,0.326764308679548
-1.0833,0,0.2621,0,0,0.509785774245969
-0.2972,0,0.2403,1,0,0.430507023195641
0.4239,1,0.2043,1,1,0.0284667859601639
-0.0449,1,0.2097,1,1,0.223304031309262
0.2968,1,0.2045,1,1,0.0542126272673463
-0.1554,1,0.2128,1,0,0.311886544387659
-0.5659,0,0.2282,1,0,0.594979212152723
0.2221,1,0.2869,1,1,0.076502715305092
-0.6606,1,0.2289,1,1,0.622647933262412
0.2694,1,0.2047,1,1,0.0616422184072367
0.3627,1,0.2043,1,1,0.0392196747101597
-0.1702,1,0.2133,1,1,0.324462817113822
-2.4341,0,0.3658,0,0,0.0281087098243075
-0.3714,0,0.2209,1,0,0.487320925930167
0.0672,1,0.2073,1,1,0.149269679761093
0.2989,1,0.2045,1,1,0.0536740081400146
-0.6418,1,0.2285,1,1,0.618231756656114
-0.9119,0,0.244,0,0,0.607553717448286
0.1033,1,0.2067,1,1,0.128998559816355
-0.0675,1,0.2103,1,0,0.24033032386313
-1.7539,0,0.3422,1,0,0.191103128652029
-1.4274,0,0.3035,1,0,0.317061606349917
-0.4414,1,0.2315,1,1,0.534418083610526
-0.1406,1,0.2124,1,0,0.299406777033104
0.263,1,0.2047,1,1,0.063490962057852
-0.7733,0,0.2335,1,0,0.635393865888676
-0.216,0,0.2467,1,0,0.363489174172927
-0.6286,1,0.2283,1,1,0.614785897693493
-0.3788,1,0.2348,1,1,0.49264712000424
0.6966,1,0.208,1,1,0.00559599897951094
-0.9943,0,0.2522,1,0,0.567159390981093
-0.3229,1,0.2188,1,1,0.4507671391744
-0.003,1,0.2088,1,0,0.193650022044445
-3.6703,0,0.6115,0,0,0.0416097567805202
-0.5043,1,0.2293,1,1,0.568946864193062
-0.2842,1,0.2173,1,1,0.420073723327051
-1.0793,0,0.2616,0,0,0.512531805451743
-0.1674,1,0.2508,1,1,0.322077906256709
-1.3327,0,0.3265,0,0,0.359754813830191
-0.0834,1,0.2582,1,1,0.252715192579733
0.7779,1,0.2104,1,1,0.00301297519904391
-0.3238,1,0.2384,1,1,0.451467317806161
-1.2282,0,0.2793,0,0,0.414731170357399
0.1548,1,0.2059,1,1,0.103372958972805
-0.5999,0,0.2281,0,0,0.606426786760215
-0.8012,0,0.2352,1,0,0.634305605866819
-1.5839,0,0.3294,1,0,0.253713030042799
-1.0616,0,0.2596,1,0,0.524580378166483
-0.2873,0,0.2174,1,0,0.422572641195481
0.0675,1,0.2073,1,1,0.14909403734403
-1.0086,0,0.2538,1,0,0.55867996861572
-0.7098,0,0.2304,1,0,0.631177015377431
0.1114,1,0.2065,1,1,0.124693788260146
-0.8166,0,0.2363,1,0,0.63276060196381
0.1957,1,0.2054,1,1,0.0861709384480625
-0.3341,0,0.2193,1,0,0.459430756179378
-0.0806,1,0.2585,1,1,0.250511514355259
0.3504,1,0.2043,1,1,0.0417342599435846
0.1298,1,0.2063,1,1,0.115280549456316
-0.4264,1,0.2322,1,1,0.525008813246557
0.8212,1,0.212,1,1,0.00215146101726306
-1.5699,0,0.3292,1,0,0.259114456265535
-0.7757,0,0.2336,0,0,0.635381243489052
-0.1586,1,0.2129,1,1,0.314598748057421
0.944,1,0.2178,1,1,0.00104652340243316
-0.5722,0,0.2281,1,0,0.597239051170459
-0.0168,1,0.2091,1,1,0.203148905191741
0.1402,1,0.2061,1,1,0.110199993342051
-0.2405,1,0.2447,1,1,0.384150048670522
0.1976,1,0.2054,1,1,0.0854389071579546
-0.6707,1,0.2291,1,1,0.624764012802827
-0.4761,1,0.2302,1,1,0.554477761868689
-0.5943,0,0.2281,1,0,0.60466237156987
-0.9379,0,0.2465,1,0,0.596550890023777
-0.1827,1,0.2495,1,1,0.335125836944866
-0.7434,0,0.2319,0,0,0.634422185515194
-0.4795,0,0.23,1,0,0.556310212503032
0.3455,1,0.2043,1,1,0.0427704593078249
-0.4561,0,0.2309,1,0,0.543214187532453
0.3886,1,0.2043,1,1,0.0343175308210679
0.7566,1,0.2097,1,1,0.00356061978811826
0.012,1,0.2084,1,1,0.18361378985346
-1.1759,0,0.273,0,0,0.446993803310149
0.2189,1,0.2051,1,1,0.077618061944716
-0.536,0,0.2286,1,0,0.583272536859877
-1.1474,0,0.3258,0,0,0.465831483860578
-0.3351,0,0.2193,1,0,0.460198763656924
-1.2757,0,0.2851,0,0,0.388314909166934
-0.3233,1,0.2384,1,1,0.451078412813533
0.2488,1,0.2049,1,1,0.0677622477996887
0.3965,1,0.2043,1,1,0.0329263346231272
0.1711,1,0.2057,1,1,0.0961807410394196
-1.1539,0,0.2704,0,0,0.461472963466748
-0.9403,0,0.2467,0,0,0.595451344421576
-1.1115,0,0.2654,0,0,0.490341406859558
-0.0817,1,0.2584,1,0,0.251376131333955
-0.5666,0,0.2282,1,0,0.595233660521196
-0.5995,0,0.2332,1,0,0.606302240307437
0.033,1,0.208,1,1,0.170071787697127
-0.0243,1,0.2092,1,1,0.208419416079474
-0.0526,1,0.261,1,1,0.229025101170748
0.3266,1,0.2044,1,1,0.0469578709380934
0.4162,1,0.2043,1,1,0.0296636546324784
